ID,Name,Skills,Education,Work Experience
1,Nicholas Miller,"Data Analysis, Java, HTML, Python",MBA,2 years
2,Austin Sutton Jr.,"HTML, Node.js, Java",M.Tech AI,2 years
3,Troy Hamilton,"Flask, Java, SQL, Docker",BBA,Intern
4,Perry Nelson,"Python, HTML",MBA,Intern
5,Lauren Nelson,"JavaScript, SQL",B.Com,Intern
6,Miguel Werner,"AWS, SQL, React",Ph.D Computer Science,5 years
7,John Lewis,"CSS, Docker, HTML, Flask, JavaScript",M.Sc Data Science,Intern
8,Jessica Walker,"Machine Learning, SQL, AWS",M.Sc Data Science,5 years
9,Danny Trujillo,"Django, Node.js, Java",BBA,Intern
10,Dr. Taylor Grimes,"Flask, SQL",B.Tech IT,1 year
11,Alyssa Garrett,"Node.js, SQL, JavaScript, HTML, Data Analysis",M.Sc Data Science,10 years
12,Laura Lee,"React, Data Analysis, CSS",Ph.D Computer Science,2 years
13,Anne White,"SQL, Flask, Python, Data Analysis, JavaScript",BBA,3 years
14,Dawn Morales,"HTML, React, Django, Data Analysis",Ph.D Computer Science,1 year
15,Miss Ana Washington,"Django, Node.js, HTML",M.Tech AI,2 years
16,Alexis Bell,"Data Analysis, SQL, Flask, React",B.Sc Computer Science,Intern
17,Lisa Miller,"Flask, Data Analysis",B.Tech IT,Intern
18,Ashley Young,"Node.js, Python, AWS, SQL, HTML",M.Tech AI,10 years
19,Kyle Bradshaw,"Flask, AWS",M.Sc Data Science,5 years
20,Kathleen Thompson,"JavaScript, Node.js",B.Tech IT,5 years
21,Patricia Williams,"Java, React",B.Sc Computer Science,3 years
22,Robin Cook,"Django, JavaScript, Node.js",MBA,10 years
23,Patricia Jenkins,"JavaScript, Node.js",MBA,1 year
24,Cheryl Jackson,"Docker, React, JavaScript",M.Sc Data Science,2 years
25,Debra Clark,"Machine Learning, Flask, JavaScript",M.Tech AI,5 years
26,Judy Harvey,"Django, HTML",BBA,5 years
27,Melissa Johnson,"Machine Learning, SQL, Python, Java, HTML",MBA,5 years
28,Sandy Kelly,"Docker, Node.js, SQL, Flask, HTML",B.Tech IT,Intern
29,Anthony Hale,"React, Docker",B.Com,Intern
30,Neil Hall,"HTML, Python, Java, Flask",Ph.D Computer Science,Intern
31,Frederick Williams,"SQL, Docker, Flask, Data Analysis, React",Ph.D Computer Science,5 years
32,Amanda Guzman,"HTML, CSS, JavaScript",B.Com,2 years
33,Richard Nguyen,"Node.js, Java, Django, HTML",BBA,1 year
34,Alexandra Savage,"React, Django, Docker, Python",B.Tech IT,Intern
35,Katrina Williams,"React, Machine Learning, AWS, Data Analysis, SQL",B.Com,5 years
36,Suzanne Knight,"Flask, Node.js, Machine Learning, React, HTML",M.Tech AI,2 years
37,Charles James,"Machine Learning, Python, Java, CSS, Flask",MBA,5 years
38,Caitlin Russell,"Machine Learning, CSS, HTML, AWS",MBA,1 year
39,Mr. Tyler Cooper,"SQL, Docker, Node.js",B.Sc Computer Science,10 years
40,David Walker,"React, Java, Python, AWS, HTML",B.Sc Computer Science,3 years
41,Charles Melton,"Docker, Java, Flask, HTML, Machine Learning",B.Tech IT,2 years
42,Shannon Cross,"Node.js, React",B.Tech IT,Intern
43,Stacey Moreno,"Python, SQL, CSS, Machine Learning, Flask",B.Com,1 year
44,Elizabeth Schmidt,"Django, SQL",M.Sc Data Science,1 year
45,Ashlee Rodriguez,"Flask, Docker",BBA,10 years
46,Sonia Harvey,"Data Analysis, HTML, JavaScript, CSS",B.Sc Computer Science,3 years
47,Richard Cowan,"Python, JavaScript, Docker, AWS, CSS",MBA,2 years
48,Christopher Byrd,"CSS, Flask, Docker",MBA,5 years
49,Howard Taylor,"HTML, CSS",MBA,5 years
50,Joshua Duran,"Java, Python, JavaScript, HTML",BBA,3 years
51,Melissa Bell,"Data Analysis, AWS, Machine Learning",M.Sc Data Science,Intern
52,Russell Hurst,"Node.js, Machine Learning, HTML",B.Sc Computer Science,10 years
53,Amy Padilla,"Flask, Node.js, Python, Docker, HTML",M.Tech AI,2 years
54,Brett Reyes,"SQL, Machine Learning, Node.js, Data Analysis",M.Tech AI,Intern
55,Eric Thomas,"JavaScript, Python",B.Sc Computer Science,3 years
56,Laura Lewis,"SQL, Data Analysis",B.Sc Computer Science,1 year
57,Kathy Kennedy,"Data Analysis, React, CSS, Django, Java",MBA,3 years
58,Tami Maxwell,"Docker, Node.js",B.Sc Computer Science,2 years
59,Rachel Rodriguez,"React, Flask",B.Sc Computer Science,10 years
60,Jasmine Dominguez,"React, SQL, Flask",MBA,3 years
61,Edward Luna,"Docker, HTML, Machine Learning, JavaScript, Data Analysis",M.Sc Data Science,2 years
62,Joshua Kennedy,"Node.js, HTML, Flask",Ph.D Computer Science,1 year
63,Rachel Mcclain PhD,"AWS, Python",M.Sc Data Science,10 years
64,Carol Fowler,"Python, Django, Machine Learning, React",M.Tech AI,3 years
65,Paul Ibarra,"Node.js, JavaScript, Flask, CSS, React",B.Com,1 year
66,Marissa Short,"Data Analysis, Django, JavaScript, Flask, Machine Learning",M.Sc Data Science,2 years
67,Jerry Spencer,"React, Flask, Machine Learning",B.Tech IT,2 years
68,Ariana Mason,"Django, React, Python",BBA,Intern
69,Elizabeth Strickland,"CSS, Flask, Data Analysis, Django, Docker",BBA,5 years
70,Karen Goodman,"React, Node.js, Java, Python, Flask",B.Sc Computer Science,2 years
71,Joseph Mitchell,"Java, Django, HTML, React",Ph.D Computer Science,5 years
72,Julie Wilson,"Python, Machine Learning, AWS, Data Analysis",B.Tech IT,3 years
73,Sheila Diaz,"Java, CSS, SQL",B.Tech IT,Intern
74,Albert Garrett,"HTML, SQL",MBA,1 year
75,Stacy Dean,"Flask, CSS, Java, React, Machine Learning",B.Tech IT,Intern
76,Brandi House,"Node.js, JavaScript",BBA,2 years
77,Sean Cardenas,"Java, Django, CSS, HTML, AWS",M.Sc Data Science,2 years
78,Carl Lewis,"React, Node.js, JavaScript, Machine Learning",B.Sc Computer Science,3 years
79,Christopher Gallagher,"Node.js, CSS",MBA,Intern
80,Connie Moody,"JavaScript, Data Analysis, Flask",B.Sc Computer Science,3 years
